Devices
1000
,,ForcePlate4 - Force,,,ForcePlate4 - Moment,,,ForcePlate4 - CoP,,,ForcePlate2 - Force,,,ForcePlate2 - Moment,,,ForcePlate2 - CoP,,,ForcePlate1 - Force,,,ForcePlate1 - Moment,,,ForcePlate1 - CoP,,,ForcePlate3 - Force,,,ForcePlate3 - Moment,,,ForcePlate3 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
8,1,0.0283813,0.0152588,0.109863,-7.81252,-30.6702,-10.9405,300,-200,0,0.0273132,0.0309754,0.110169,32.1045,32.3181,8.01087,-300,200,0,-0.062561,0.0393677,-0.0717163,15.686,-15.2893,1.1902,300,200,0,-0.0343323,-0.0344849,0.00579825,0.976551,-1.19017,-5.31005,-300,-200,0
9,0,-0.0326539,0.0152588,0.0488282,4.39452,5.95093,7.37001,300,-200,0,-0.00320432,0.000457777,-0.0119018,-4.5166,-22.6135,-1.1444,-300,200,0,-0.00152588,0.00885012,0.050354,-20.9351,3.02126,10.3455,300,200,0,-0.0343323,0.0570678,0.0668334,0.976551,-1.19017,13.0005,-300,-200,0
9,1,-0.00213627,0.0457764,-0.0732421,4.39452,5.95093,-20.0958,300,-200,0,-0.0337219,0.0309753,0.171204,19.8975,-4.30297,8.01087,-300,200,0,-0.00152588,0.00885012,-0.0717163,-8.72802,21.3318,-26.2756,300,200,0,0.0572204,-0.0650025,-0.0552369,-11.2305,35.4309,-5.31005,-300,-200,0
10,0,-0.00213627,0.076294,-0.0732421,4.39452,-30.6702,-1.78526,300,-200,0,-0.00320432,0.000457777,-0.0119018,7.69042,-4.30297,-1.1444,-300,200,0,-0.276184,-0.0827026,-0.0106812,3.47901,-15.2893,-26.2756,300,200,0,0.0267029,-0.0650025,-0.0552369,-11.2305,-1.19017,3.84523,-300,-200,0
10,1,-0.00213628,0.0152588,0.0488282,-7.81252,-85.6018,7.37001,300,-200,0,-0.00320432,0.000457777,-0.0119018,7.69042,-4.30297,-10.2997,-300,200,0,0.0289917,0.00885012,-0.0106812,3.47901,-15.2893,19.5007,300,200,0,-0.00381474,0.148621,0.00579825,13.1836,17.1204,-5.31005,-300,-200,0
11,0,0.0588989,0.0152588,0.109863,4.39452,5.95093,7.37001,300,-200,0,0.0578308,0.000457786,-0.0729369,7.69042,-4.30297,8.01087,-300,200,0,0.0289917,0.0393677,-0.0106812,15.686,-15.2893,-7.96508,300,200,0,-0.00381472,-0.00396732,-0.116272,-23.4375,-19.5007,-14.4653,-300,-200,0
11,1,-0.00213628,-0.0152588,-0.134277,-7.81252,-30.6702,-10.9405,300,-200,0,-0.0642395,0.000457767,0.0491334,-28.9307,14.0076,-1.1444,-300,200,0,-0.00152587,0.0393677,-0.0717163,-8.72802,3.02126,19.5007,300,200,0,-0.00381472,-0.00396732,-0.0552369,13.1836,-1.19017,-5.31005,-300,-200,0
12,0,0.0588989,-0.0457764,-0.012207,4.39452,-30.6702,-10.9405,300,-200,0,-0.00320432,-0.0300598,0.0491334,7.69042,14.0076,17.1661,-300,200,0,-0.0930786,-0.0216674,-0.0106812,-8.72802,-15.2893,1.1902,300,200,0,0.0267029,-0.0344849,0.00579825,25.3906,-1.19017,22.1558,-300,-200,0
12,1,-0.00213627,0.0457764,0.0488282,-7.81252,-30.6702,-1.78526,300,-200,0,0.0273133,-0.0910949,-0.195007,44.3115,-4.30297,-1.1444,-300,200,0,-0.0320434,0.0393677,-0.0717163,-20.9351,-33.5998,10.3455,300,200,0,-0.00381476,0.240173,0.00579825,-11.2305,-1.19017,-5.31005,-300,-200,0
13,0,0.0283813,-0.0152588,0.0488282,-7.81251,5.95093,-1.78526,300,-200,0,-0.0642395,0.000457767,-0.0119018,-4.51661,14.0076,17.1661,-300,200,0,-0.0320435,0.00885013,0.050354,-8.72803,-33.5998,10.3455,300,200,0,-0.00381472,-0.0344849,-0.116272,13.1836,17.1204,13.0005,-300,-200,0
